unitid,year,offering_highest_level,inst_size,hbcu,medical_degree,tribal_college,land_grant,inst_affiliation,oncampus_housing,calendar_system,study_abroad,dual_credit,ap_credit,employment_services,placement_services,oncampus_daycare,disability_indicator,cluster
106324,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
106342,2014,5,1,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3
106351,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
106360,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
106397,2014,9,5,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4
106412,2014,9,2,1,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
106449,2014,3,2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2
106458,2014,9,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4
106467,2014,8,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4
106485,2014,7,2,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9
106494,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
106546,2014,4,1,0,0,0,0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7
106625,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2
106704,2014,9,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4
106713,2014,5,1,0,0,0,0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3
106795,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2
106810,2014,5,1,0,0,0,0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3
106829,2014,2,1,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
106883,2014,3,2,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2
106892,2014,1,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
106908,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
106980,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2
106999,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2
107044,2014,9,3,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8
107071,2014,8,2,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,9
107080,2014,7,2,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3
107099,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
107123,2014,4,1,0,0,0,0,3.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6
107141,2014,8,2,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8
107211,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
107220,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
107293,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
107318,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2
107327,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2
