unitid,offering_highest_level,offering_highest_degree,offering_grad,inst_size,hbcu,medical_degree,tribal_college,land_grant,sector,inst_control,fips,inst_affiliation,oncampus_housing,calendar_system,study_abroad,dual_credit,ap_credit,employment_services,placement_services,oncampus_daycare,disability_indicator,disability_percentage,cont_prof_prog_offered,occupational_prog_offered,acceptance_rate,tuition_fees_ft
176965,8.0,20.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.3,0.0,0.0,0.7957892223195097,7774.574074074074
176983,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,29.0,1.0,0.0,3.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,17.9,0.0,1.0,0.8728813559322034,4040.0
177038,7.222222222222222,21.0,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,2.0,2.0,23.0,3.0,0.0,3.0,0.0,1.0,0.8888888888888888,0.6111111111111112,0.4444444444444444,0.0,1.0,7.079084249084248,1.0,0.0,0.6774193548387096,8597.962962962964
177038,7.222222222222222,21.0,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,2.0,2.0,23.0,3.0,0.0,3.0,0.0,1.0,0.8888888888888888,0.6111111111111112,0.4444444444444444,0.0,1.0,7.079084249084248,1.0,0.0,0.5865384615384616,8597.962962962964
177065,7.0,20.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.0,1.0,0.7222222222222222,1.0,0.8888888888888888,0.2777777777777778,0.0,1.0,7.079084249084248,0.1111111111111111,0.0,0.5762323270920902,7405.083333333333
177083,5.611111111111111,30.0,0.6111111111111112,1.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.0,0.0,1.0,1.0,0.1111111111111111,0.0,0.0,1.0,7.079084249084248,0.0,0.0,0.9646643109540636,15250.333333333334
177092,9.0,11.5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.9444444444444444,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.079084249084248,1.0,0.0,0.7104120276160687,19362.5
177117,3.888888888888889,35.55555555555556,0.0,1.0,0.0,0.0,0.0,0.0,3.6666666666666665,2.0,29.0,3.0,1.0,1.0,0.3888888888888889,0.7777777777777778,1.0,1.0,0.0,0.0,0.3,9.428571428571429,0.0,0.0,0.627708932871322,15288.888888888889
177126,9.0,11.61111111111111,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.079084249084248,1.0,0.0,0.7104120276160687,10843.777777777777
177135,3.0,40.0,0.0,2.5,0.0,0.0,0.0,0.0,4.0,1.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,2643.222222222222
177144,5.666666666666667,26.666666666666668,0.3333333333333333,1.2857142857142858,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,0.0,0.6122847722554646,16392.708333333332
